,Unnamed: 0,score,id,Title,Parent,Parent Slug,secondary,count
69,113,1008.1,16061,Can You Lease a Boat and Is This The Best Decision?,1389,boat,auto/powersport,7
70,967,1003.7,3261,How to Finance a Tiny House,164,personal,personal,8
71,601,1001.1,30545,LendingTree Reveals the Cities with the Highest Share of Million-Dollar Homes,146,home/mortgage,home,6
72,598,996.2,5734,When is your mortgage payment late?,146,home/mortgage,home,9
73,65,991.7,2216,Auto Refinance With Bad Credit,109,auto/refinance,auto,9
74,104,979.7,3022,What Credit Score is Needed to Buy a Car?,99,auto,auto,8
75,497,956.6,6110,Can You Get a Mortgage with Credit Card Debt?,146,home/mortgage,home,6
76,644,946.0,5750,Getting Your Prequalification Letter,2990,home/mortgage/pre-approval,home/mortgage,4
77,362,942.2,2346,203k Loan: Rehab Loans Courtesy of the FHA,27,home/fha,home,7
78,795,924.6,3359,Mobile Home Refinancing: Property Requirements,150,home/refinance,home,7
79,576,918.7,7064,Mortgage Application: How to Apply For a Mortgage,146,home/mortgage,home,7
80,614,896.0,3526,When is Your Mortgage Loan Approved?,146,home/mortgage,home,6
81,13,894.3,15796,Buying a Car Out of State: A How-To Guide,99,auto,auto,6
82,172,881.3,6096,Business Loan vs. Personal Loan: Which Is Better for Your Small Business?,129,business,business,66
83,786,879.5,26278,How Long Does It Take to Refinance a House?,150,home/refinance,home,6
84,23,871.2,2999,Combining Auto Loans: Learn How to Consolidate Your Car Loan,99,auto,auto,6
85,550,865.9,7834,Tips for First-Time Homebuyers with Bad Credit,146,home/mortgage,home,6
86,87,856.7,271,RV Financing: How To Finance an RV,121,auto/rv,auto,4
87,980,850.3,9673,Long Term Personal Loans,164,personal,personal,8
88,484,809.9,20981,Buying A Fixer-Upper: What Loans Are Available?,146,home/mortgage,home,6
89,474,778.8,3512,Everything You Should Know Before Buying a Condo,146,home/mortgage,home,8
90,981,766.4,6084,How to Get Medical Loans with Bad Credit,3113,personal/medical,personal,1
91,914,765.3,2269,VA Construction Loans: A Few Things to Know,154,home/va,home,27
92,505,753.2,3535,No Closing Cost Mortgage Loans,7457,home/mortgage/closing-costs,home/mortgage,6
93,881,750.8,7381,What Is a Reverse Mortgage?,234,home/reverse,home,49
94,439,748.8,3312,How Long Are Home Equity Loan Terms?,142,home/home-equity,home,7
95,600,745.1,3432,Mortgage News: CFPB Says Some Lenders Discriminated Against Social Security Recipients,146,home/mortgage,home,6
96,37,736.8,7937,How to Get a Business Auto Loan,99,auto,auto,6
97,652,729.0,5834,10-Year Fixed Refinance Mortgage Loan,5299,home/mortgage/rates,home/mortgage,40
98,405,724.5,2335,"What's the Difference Between these Types of Mortgages: FHA, HomeReady and Home Possible Mortgage?",27,home/fha,home,6
99,849,722.8,2306,How to Get Out of a Reverse Mortgage (Without Actually Dying),234,home/reverse,home,49
100,242,717.5,26178,What is a credit score & how is it calculated?,20369,credit-repair,credit-repair,19
101,227,716.3,6039,Can You Have Two of the Exact Same Rewards Credit Cards?,133,credit-cards/tips,credit-cards,192
102,804,713.6,3378,Should You Refinance Your ARM to a Fixed Rate Mortgage?,150,home/refinance,home,8
103,852,685.0,7904,How Much Equity Do You Need for a Reverse Mortgage?,234,home/reverse,home,17
104,888,653.5,2284,VA Loan Benefits and Disadvantages,154,home/va,home,27
105,417,651.6,3331,How to Refinance a HELOC,7471,home/home-equity/heloc,home/home-equity,10
106,767,651.5,22572,Cash-Out Refinance: Know Your Options,7459,home/refinance/cash-out,home/refinance,3
107,22,648.4,3863,Classic Car Loans: How To Finance a Classic Car,99,auto,auto,6
108,409,643.9,3328,"Cash-Out Refinance, HELOC and Home Equity Loans: Which Is Best for You?",142,home/home-equity,home,8
109,1020,640.0,3276,Which is Better: A Personal Loan or Home Equity Loan?,164,personal,personal,8
110,338,637.6,26297,5 Signs You Have Too Much Debt,138,debt-consolidation,debt-consolidation,50
111,431,636.2,3313,Using a Home Equity Loan to Buy a Car,142,home/home-equity,home,7
112,86,631.8,16844,How to Find the Best RV Loan Rates and Financing Terms,121,auto/rv,auto,4
113,642,631.2,9931,What is PITI?,146,home/mortgage,home,6
114,420,628.0,26589,Using a HELOC for Debt Consolidation,7471,home/home-equity/heloc,home/home-equity,10
115,996,617.9,6371,Personal Loans for People With Bad Credit,164,personal,personal,8
116,997,604.5,3257,Using Personal Loans to Rebuild Credit,164,personal,personal,8
